Aareal Bank AG,03097,1,
Ak Nordic Ab,03662,1
Allfunds Bank S.A.,03271,1
Allianz Bank Financial Advisors,03589,27
Arab Banking Corporation SA,03561,1
Artigiancassa,10681,18
Attijariwafa Bank Europe Sede Secondaria Italiana,03415,5
Banca 2021 - Credito Coperativo del Cilento Vallo di Diano e Lucania,08154,24
Banca 360 Credito Cooperativo Fvg,08631,59
Banca Adria Colli Euganei - Credito Cooperativo,08982,34
Banca Agricola Popolare di Ragusa,05036,83
Banca Akros,03045,1
Banca Aletti,03102,53
Banca Alpi Marittime Credito Cooperativo Carru',08450,24
Banca Alta Toscana Credito Cooperativo,08922,23
Banca Cambiano 1884,08425,44
Banca Capasso Antonio,03047,9
Banca Cassa di Risparmio di Savigliano,06305,24
Banca Centro Emilia - Credito Cooperativo,08509,28
Banca Centro Lazio Credito Cooperativo,08716,22
Banca Centro-Credito Cooperativo Toscana-Umbria Soc.Cooperativa,07075,73
Banca Centropadana Credito Cooperativo,08324,38
Banca Cesare Ponti,03084,2
Banca Cf+ Credito Fondiario,10312,1
Banca Credifarma,03110,1
Banca Cremasca e Mantovana - Credito Cooperativo,07076,35
Banca dei Sibillini-Credito Cooperativo di Casavecchia,08456,8
Banca del Fucino,03124,36
Banca del Mezzogiorno - Mediocredito Centrale,10680,8
Banca del Piceno Credito Cooperativo,08474,28
Banca del Piemonte,03048,40
Banca del Territorio Lombardo Credito Cooperativo,08735,66
Banca del Valdarno - Credito Cooperativo,08811,9
Banca del Veneto Centrale - Credito Cooperativo,08590,47
Banca dell'Alta Murgia Credito Cooperativo,07056,7
Banca dell'Elba Credito Cooperativo,07048,3
Banca della Marca Credito Cooperativo,07084,48
Banca della Valsassina Credito Cooperativo,08515,13
Banca delle Terre Venete Credito Cooperativo ¿ Società Cooperativa,08399,58
Banca di Ancona e Falconara Marittima Credito Cooperativo,08086,13
Banca di Andria di Credito Cooperativo,07101,3
Banca di Anghiari e Stia - Credito Cooperativo,08345,14
Banca di Bari e Taranto Credito Cooperativo,07012,9
Banca di Bologna Credito Cooperativo,08883,32
Banca di Caraglio del Cuneese e della Riviera dei Fiori - Credito Cooperativo,08439,31
Banca di Cividale o,05484,64
Banca di Credito Peloritano,03426,3
Banca di Credito Popolare,05142,64
Banca di Filottrano - Credito Cooperativo di Filottrano e Camerano,08549,19
Banca di Imola,05080,37
Banca di Pesaro Credito Cooperativo,08826,10
Banca di Pescia e Cascina - Credito Cooperativo,08358,14
Banca di Piacenza,05156,56
Banca di Pisa e Fornacette Credito Cooperativo,08562,16
Banca di Ripatransone e del Fermano - Credito Cooperativo,08769,7
Banca di Sconto,03235,1
Banca di Udine Credito Cooperativo,08715,12
Banca Don Rizzo - Credito Cooperativo della Sicilia Occidentale,08946,19
Banca Finanziaria Internazionale,03266,4
Banca Finnat Euramerica,03087,6
Banca Galileo,03267,4
Banca Generali,03075,49
Banca Ifigest,03185,9
Banca Ifis,03205,28
Banca Investis,03043,17
Banca Lazio Nord Credito Cooperativo,08931,27
Banca Macerata,03317,5
Banca Malatestiana - Credito Cooperativo,07090,30
Banca Mediolanum,03062,3
Banca Monte dei Paschi di Siena,01030,1.377
Banca Monte Pruno - Credito Cooperativo di Fisciano Roscigno e Laurino,08784,19
Banca Montepaone - Credito Cooperativo,08126,5
Banca Nazionale del Lavoro,01005,637
Banca Passadore & C.,03332,26
Banca Patavina Credito Cooperatvo di Sant'Elena e Piove di Sacco,08728,38
Banca Patrimoni Sella & C.,03211,25
Banca per lo Sviluppo della Cooperazione di Credito E,03139,1
Banca Popolare Commerciale Società per Azioni,05602,5
Banca Popolare del Cassinate,05372,25
Banca Popolare del Frusinate,05297,11
Banca Popolare del Lazio,05104,9
Banca Popolare del Mediterraneo,05038,4
Banca Popolare dell'Alto Adige,05856,170
Banca Popolare delle Province Molisane,05033,5
Banca Popolare di Cortona,05496,10
Banca Popolare di Fondi,05296,20
Banca Popolare di Lajatico,05232,18
Banca Popolare di Puglia e Basilicata,05385,118
Banca Popolare di Sondrio,05696,483
Banca Popolare Etica,05018,21
Banca Popolare Pugliese,05262,96
Banca Popolare Sant'Angelo,05772,23
Banca Popolare Valconca in Amministrazione Straordinaria,05792,17
Banca Prealpi Sanbiagio Credito Cooperativo,08904,67
Banca Privata Leasing,03417,2
Banca Profilo,03025,7
Banca Progetto,05015,4
Banca Promos,03265,1
Banca Reale,03138,11
Banca San Francesco Credito Cooperativo,08969,8
Banca Santa Giulia,03367,2
Banca Sella,03268,287
Banca Sella Holding,03311,1
Banca Simetica,03398,1
Banca Sistema,03158,2
Banca Stabiese,03388,3
Banca Territori del Monviso - Credito Cooperativo di Casalgrasso e Sant'Albano Stura,08833,19
Banca Transilvania S.A.,03437,1
Banca Ubae,03598,2
Banca Valsabbina,05116,75
Banca Veronese Credito Cooperativo di Concamarise,08322,20
Banca Versilia Lunigiana e Garfagnana - Credito Cooperativo,08726,23
Banco Bilbao Vizcaya Argentaria S.A.,03576,1
Banco Bpm,05034,1.401
Banco di Credito P.Azzoaglio,03425,21
Banco di Desio e della Brianza,03440,280
Banco di Lucca e del Tirreno,03242,10
Banco di Sardegna,01015,290
Banco Fiorentino - Mugello Impruneta Signa - Credito Cooperativo,08325,29
Banco Marchigiano Credito Cooperativo,08491,28
Banco Santander S.A.,03389,1
Bank Of America Europe Designated Activity Company,03380,1
Bank Of China Limited - Filiale di Milano o,03093,2
Bank Of Communications S.A.,03623,1
Bank Pictet & Cie AG,03343,4
Bank Sepah,03381,1
Banque Chaabi du Maroc - in ovvero B.C.D.M.,03387,9
Banque J. Safra Sarasin SA,03670,1
Barclays Bank Ireland Public Limited Company,03051,1
Bayerische Landesbank,03055,1
BCC Abruzzese - Cappelle sul Tavo,08434,10
BCC Agrigentino,07108,3
BCC Agrobresciano,08575,21
BCC Appulo Lucana,08873,11
BCC Basilicata - Credito Cooperativo di Laurenzana e Comuni Lucani,08597,12
BCC Bergamasca e Orobica,08940,25
BCC Brianza e Laghi,08329,20
BCC Campania Centro - Cassa Rurale ed Artigiana,08378,23
BCC degli Ulivi - Terra di Bari,08988,4
BCC dei Castelli e degli Iblei,07078,7
BCC dei Castelli Romani e del Tuscolo,07092,13
BCC dei Colli Albani,08951,12
BCC del Basso Sebino,08437,7
BCC del Circeo e Privernate,07017,7
BCC del Garda - BCC Colli Morenici del Garda,08676,29
BCC del Metauro,08700,15
BCC dell'Adriatico Teramano,07086,6
BCC dell'Alto Tirreno della Calabria Verbicaro,08365,5
BCC dell'Oglio e del Serio,08514,24
BCC della Calabria Ulteriore,07091,24
BCC della Provincia Romana,08787,14
BCC della Romagna Occidentale,08462,11
BCC della Valle del Fitalia,08913,7
BCC della Valle del Trigno,08189,7
BCC delle Madonie,08976,15
BCC di Abruzzi e Molise,08968,16
BCC di Alba Langhe Roero e del Canavese,08530,73
BCC di Alberobello Sammichele e Monopoli,08338,15
BCC di Altofonte e Caccamo,08341,5
BCC di Anagni,08344,14
BCC di Aquara,08342,16
BCC di Arborea,08362,9
BCC di Avetrana,08354,5
BCC di Barlassina,08374,14
BCC di Basciano,08149,5
BCC di Bellegra,08381,5
BCC di Brescia,08692,62
BCC di Buccino e dei Comuni Cilentani,07066,16
BCC di Busto Garolfo e Buguggiate,08404,17
BCC di Cagliari,07096,3
BCC di Canosa - Loconia,08606,4
BCC di Capaccio Paestum e Serino,08431,13
BCC di Carate Brianza,08440,33
BCC di Cassano delle Murge e Tolve,08460,11
BCC di Castiglione Messer Raimondo e Pianella,08473,20
BCC di Cherasco,08487,26
BCC di Conversano,08503,9
BCC di Fano,08519,16
BCC di Flumeri,08553,16
BCC di Gambatesa,08572,6
BCC di Gaudiano di Lavello,08554,3
BCC di Leverano,08603,12
BCC di Lezzeno,08618,8
BCC di Locorotondo Cassa Rurale e Artigiana,08607,5
BCC di Marina di Ginosa,08688,4
BCC di Milano,08453,66
BCC di Mozzanica,08679,2
BCC di Napoli,07110,3
BCC di Nettuno,08693,4
BCC di Ostra e Morro d'Alba,08704,7
BCC di Ostra Vetere,08705,7
BCC di Ostuni,08706,4
BCC di Pachino,08713,19
BCC di Pergola e Corinaldo,08731,16
BCC di Pianfei e Rocca de' Baldi,08753,14
BCC di Pontassieve,08736,9
BCC di Pratola Peligna,08747,10
BCC di Putignano,07113,1
BCC di Recanati e Colmurano,08765,13
BCC di Roma,08327,184
BCC di San Giovanni Rotondo,08810,11
BCC di San Marco dei Cavoti e del Sannio-Calvi,08997,11
BCC di San Marzano di San Giuseppe - Taranto,08817,12
BCC di Santeramo in Colle,08844,12
BCC di Sarsina,08850,5
BCC di Scafati e Cetara,08855,11
BCC di Spello e del Velino,08871,16
BCC di Terra d'Otranto,08445,7
BCC di Triuggio e della Valle del Lambro,08901,12
BCC di Venezia Padova e Rovigo - Banca Annia,08452,31
BCC di Verona e Vicenza - Credito Cooperativo,08807,54
BCC Felsinea - BCC Dal1902,08472,23
BCC Financing,10640,3
BCC G. Toniolo e San Michele di San Cataldo,08952,36
BCC la Riscossa di Regalbuto,08954,19
BCC Leasing,03123,9
BCC Lodi,08794,12
BCC Pordenonese e Monsile,08356,58
BCC Terra di Lavoro - S. Vincenzo de' Paoli,08987,9
BCC Valdostana - Cooperative De Credit Valdotaine,08587,15
BCC Valle del Torto,08601,4
BCC Venezia Giulia Societa¿ Cooperativa,08877,20
BCC Vicentino - Pojana Maggiore,08732,20
Bdm Banca,05424,226
Bene Banca Credito Cooperativo di Bene Vagienna,08382,21
Bff Bank,05000,3
Bhw Bausparkasse AG,03073,1
Binckbank NV,03423,1
Blu Banca,03441,54
Bmw Bank GmbH,03434,2
Bnp Paribas Lease Group,03179,1
Bnp Paribas SA,03479,3
Bpce Lease S.A.,03305,1
BPER Banca,05387,1.482
Bunq B.V.,03647,1
Bvr Banca - Banche Venete Riunite - Credito Cooperativo di Schio Pedemonte Roana e Vestenanova,08669,38
Ca Indosuez Wealth S.A.,03126,4
Caceis Bank,03438,1
Caixabank S.A.,03668,1
Cassa Centrale Banca - Credito Cooperativo Italianosocieta' per Azioni,03599,14
Cassa Centrale Raiffeisen dell'Alto Adige - Raiffeisen-Landesbank Suedtirol A.G.,03493,1
Cassa di Risparmio di Asti,06085,210
Cassa di Risparmio di Bolzano - Sudtiroler Sparkasse AG,06045,106
Cassa di Risparmio di Fermo,06150,57
Cassa di Risparmio di Fossano,06170,18
Cassa di Risparmio di Orvieto,06220,41
Cassa di Risparmio di Volterra,06370,61
Cassa di Sovvenzioni e Risparmio Fra il Personale della Banca d'Italia,05824,1
Cassa di Trento Lavis Mezzocorona Valle di Cembra e Alta Vallagarina - BCC,08304,39
Cassa Lombarda,03488,5
Cassa Padana BCC,08340,59
Cassa Raiffeisen Alta Pusteria,08020,2
Cassa Raiffeisen Alta Venosta,08066,4
Cassa Raiffeisen Bassa Atesina,08114,6
Cassa Raiffeisen Bassa Vall'Isarco,08113,4
Cassa Raiffeisen Bassa Venosta,08157,5
Cassa Raiffeisen Campo di Trens,08249,1
Cassa Raiffeisen Castelrotto - Ortisei - Raiffeisenkasse Kastelruth - St. Ulrich Genossenschaft,08056,5
Cassa Raiffeisen della Val Passiria,08998,3
Cassa Raiffeisen della Valle Isarco,08307,8
Cassa Raiffeisen di Brunico,08035,11
Cassa Raiffeisen di Dobbiaco,08080,1
Cassa Raiffeisen di Funes,08094,2
Cassa Raiffeisen di Lagundo,08112,3
Cassa Raiffeisen di Lasa,08117,2
Cassa Raiffeisen di Marlengo,08134,2
Cassa Raiffeisen di Monguelfo-Casies-Tesido,08148,3
Cassa Raiffeisen di Nova Ponente-Aldino,08162,5
Cassa Raiffeisen di Parcines,08175,2
Cassa Raiffeisen di San Martino in Passiria,08226,1
Cassa Raiffeisen di Scena,08234,1
Cassa Raiffeisen di Tesimo,08273,3
Cassa Raiffeisen di Vandoies,08295,4
Cassa Raiffeisen di Villabassa,08302,2
Cassa Raiffeisen Etschtal,08269,6
Cassa Raiffeisen Laces,08110,3
Cassa Raiffeisen Lana,08115,9
Cassa Raiffeisen Merano,08133,5
Cassa Raiffeisen Oltradige,08255,6
Cassa Raiffeisen Prato-Tubre,08183,7
Cassa Raiffeisen Schlern - Rosengarten,08065,7
Cassa Raiffeisen Silandro,08244,2
Cassa Raiffeisen Tirolo,08278,1
Cassa Raiffeisen Tures-Aurina,08285,7
Cassa Raiffeisen Ultimo - S. Pancrazio - Lauregno,08231,4
Cassa Raiffeisen Val Badia - Genossenschaft,08010,8
Cassa Raiffeisen Val Gardena,08238,3
Cassa Raiffeisen Val Sarentino,08233,2
Cassa Raiffeisen Wipptal,08182,3
Cassa Rurale - BCC di Treviglio,08899,32
Cassa Rurale Alta Valsugana - BCC,08178,17
Cassa Rurale Altogarda - Rovereto - BCC,08016,47
Cassa Rurale di Bolzano,08081,9
Cassa Rurale di Ledro - BCC,08026,4
Cassa Rurale di Salorno,08220,5
Cassa Rurale ed Artigiana dell'Agro Pontino - BCC,08738,14
Cassa Rurale ed Artigiana di Binasco - Credito Cooperativo,08386,18
Cassa Rurale ed Artigiana di Borgo San Giacomo - Credito Cooperativo,08393,12
Cassa Rurale ed Artigiana di Boves - BCC,08397,8
Cassa Rurale ed Artigiana di Cantu' BCC,08430,30
Cassa Rurale ed Artigiana di Castellana Grotte Credito Cooperativo,08469,13
Cassa Rurale ed Artigiana di Rivarolo Mantovano Credito Cooperativo,08770,12
Cassa Rurale Novella e Alta Anaunia - BCC,08200,8
Cassa Rurale Renon,08187,5
Cassa Rurale Val di Fiemme - BCC,08184,16
Cassa Rurale Val di non - Rotaliana e Giovo - BCC,08282,34
Cassa Rurale Val di Sole - BCC,08163,13
Cassa Rurale Vallagarina - BCC,08011,19
Cassa Rurale Valsugana e Tesino - BCC,08102,22
Castagneto Banca 1910 - Credito Cooperativo,08461,28
Centromarca Banca - Credito Cooperativo di Treviso e Venezia,08749,33
Chebanca!,03058,105
Cherry Bank,03365,6
Chiantibanca - Credito Cooperativo,08673,38
China Construction Bank SA,03620,1
Citibank Europe Plc,03061,2
Citibank N.A.,03566,2
Claas Financial Services,03358,1
Cnh Industrial Capital Europe,03227,1
Cofidis SA,03671,1
Commerzbank AG,03095,1
Compass Banca,19275,178
Cooperatieve Rabobank U.A.,03482,1
Cortinabanca - Credito Cooperativo - Società Cooperativa,08511,10
Credem Euromobiliare Private Banking,03250,64
Credit Agricole Corporate & Investment Bank,03432,1
Credit Suisse,03089,6
Credit Suisse AG,03040,1
Credit Suisse Bank  S.A.,03666,2
Credito Cooperativo - Cassa Rurale ed Artigiana del Friuli Venezia Giulia,08622,23
Credito Cooperativo Cassa Rurale ed Artigiana di Erchie,08537,4
Credito Cooperativo Cassa Rurale ed Artigiana di Paliano,08717,5
Credito Cooperativo Centro Calabria,08258,14
Credito Cooperativo di Caravaggio Adda e Cremasco - Cassa Rurale,08441,38
Credito Cooperativo Friuli,07085,30
Credito Cooperativo Mediocrati,07062,26
Credito Cooperativo Ravennate Forlivese e Imolese,08542,71
Credito Cooperativo Romagnolo - BCC di Cesena e Gatteo,07070,22
Credito Cooperativo Valdarno Fiorentino Banca di Cascia,08457,4
Credito Emiliano,03032,436
Credito Lombardo Veneto,03430,3
Credito Padano BCC,08454,34
Crédit Agricole Auto Bank,03445,1
Crédit Agricole Italia,06230,1.017
De Lage Landen International B.V.,03362,1
Deutsche Bank,03104,245
Deutsche Bank AG,03298,1
Deutsche Bank Mutui,03150,1
Edmond De Rothschild,03407,1
Emil Banca - Credito Cooperativo,07072,97
Ersel Banca Privata,03258,4
Europe Arab Bank SA,03006,1
Extrabanca,03399,4
Fideuram - Intesa Sanpaolo Private Banking,03296,115
Findomestic Banca,03115,83
Finecobank Banca Fineco,03015,1
Finint Private Bank o,03159,3
Fpb Cassa di Fassa Primiero Belluno - BCC Società Cooperativa,08140,23
Goldman Sachs Bank Europe Se,03658,1
Grenke Bank AG,03655,1
Hsbc Continental Europe,03021,1
Hypo Tirol Bank AG,03151,1
Hyundai Capital Bank Europe GmbH,03664,1
IBL Istituto Bancario del Lavoro,03263,54
Ic Financial Services S.A.,03349,2
ICCREA Banca - Istituto Centrale del Credito Cooperativo,08000,23
Igea Digital Bank,05029,1
Illimity Bank,03395,1
Imprebanca,03403,4
Industrial And Commercial Bank Of China S.A.,03411,2
Ing Bank NV,03475,7
Intesa Sanpaolo,03069,2.758
Intesa Sanpaolo Private Banking,03239,148
Istituto per il Credito Sportivo - Ente di Diritto Pubblico,10630,3
J.P. Morgan Se,03370,1
Jcb Finance,03386,1
Jpmorgan Chase Bank National Association,03494,2
Kbc Bank N.V. Italia,03373,1
La Cassa di Ravenna,06270,88
La Cassa Rurale - Credito Cooperativo Adamello Giudicarie Valsabbia Paganella,08078,41
Lombard Odier S.A.,03645,1
Mediobanca - Banca di Credito Finanziario,10631,12
Mediocredito Trentino-Alto Adige,10638,6
Mgf,03661,1
Mizuho Bank Limited,03346,1
Mufg Bank Ltd,03487,1
N26 Bank AG,03646,1
Natixis S.A.,03189,1
Natwest Markets NV,03657,1
Opel Bank Sa Succ. Ital.,03659,2
Persia International Bank Plc,03660,1
Prader Bank,03306,3
Primacassa - Credito Cooperativo Fvg,08637,34
Rbc Investor Services Bank S.A.,03321,1
Rci Banque S.A.,03103,1
Rivierabanca - Credito Cooperativo di Rimini e Gradara,08995,46
Romagnabanca Credito Cooperativo Romagna Est e Sala di Cesenatico,08852,26
Sanfelice 1893 Banca Popolare,05652,16
Santander Consumer Bank,03191,22
Santander Private Banking in liquidazione,03640,2
Sicilbanca Credito Cooperativo Italiano,08985,21
Smart Bank Società per Azioni,03353,2
Smbc Bank Eu AG,03337,1
Societe Generale,03593,1
Societe' Generale Securities Services,03307,1
SociéTé GéNéRale Luxembourg,03663,1
Solaris Se,03665,1
Solution Bank,03273,11
State Street Bank International GmbH Succursale Italia,03439,1
Stifel Europe Bank AG,03394,1
Suedtirol Bank,03374,1
Terre Etrusche di Valdichiana e di Maremma - Credito Cooperativo,08851,49
The Bank Of New York Mellon Sa/NV,03351,1
Toyota Material Handling Commercial Finance Ab,03654,1
Ubs Europe Se,03041,11
Unicredit,02008,2.290
Unicredit Bank AG,03081,1
Union Bancaire Privee S.A.,03427,1
Valpolicella Benaco Banca Credito Cooperativo,08315,17
Vivibanca,05030,2
Volkswagen Bank GmbH,03105,2
Western Union International Bank GmbH,03446,2
Wise Dialog Bank,03442,2
Younited,03638,1
Zkb ZadružNa KrašKa Banka Trst Gorica Zadruga - Zkb Credito Cooperativo di Trieste e Gorizia Società Cooperativa,08928,14